,osing,indonesia
1756,saiki isun,sekarang saya
1757,saikine isun,sekarang saya
1758,sait maling,hajar melepaskan serangan tangan maling
1759,sale gedhang,pisang selai
1760,sambang duwit,milik punya uang
1761,sampek teko,sampai hingga datang
1762,sampekeno isun,sampaikan saya
1763,samudro jembar,samudera laut luas
1764,sanding isun,sanding berdamping temani saya
1765,sandingen isun,dampingilah temanilah saya
1766,sawai iku,ubi kayu singkong itu
1767,sawang kembang,lihat bunga
1768,sawangen kembang,lihatlah bunga
1769,selawase urip,selamanya hidup
1770,semat dinggo,lidi untuk
1771,sembur banyu,sebar tebar air
1772,semebyar berita,tersebar berita
1773,semende ring wit,sandar bersandar di pohon
1774,sempurno gawean,sempurna pekerjaan
1775,seng gelem,tidak mau
1776,sing gelem,tidak mau
1777,seneng isun,suka cinta saya
1778,sepuro isun,maaf saya
1779,sepurane isun,maafkan saya
1780,serange atine,begitu besar hatinya
1781,serantan ati,hati hati sabar hati
1782,serepet wong iku,setengah gila orang itu
1783,serngenge padang,matahari terang
1784,sesek ambekan,sesak nafas
1785,seru temenan,betul betul sekali
1786,setalangan isun,memang saya
1787,setyo isun,setia saya
1788,simpen duwit,simpan uang
1789,simpenen duwit,simpanlah simpan saja uang
1790,siji duwit,satu uang
1791,siji sijine,satu satunya
1792,sing ono duwit,tidak ada uang
1793,sing paran paran,tidak apa apa
1794,sir siran,pacar pacaran
1795,siro arep nang endi,kamu anda kau mau ke mana
1796,soko ngendi,dari mana
1797,songgo beban,tanggung pikul beban
1798,sowok sihir,teluh
1799,soyo akeh,makin semakin banyak
1800,sudo duwit,berkurang uang
1801,sulung isun,duluan saya
1802,sulung isun,sebentar entar saya
1803,sun seneng,aku  saya senang
1804,sungkan isun,enggan malu saya
1805,sunggrak iku,perangkap duri besar itu
1806,surut banyu,berkurang menurun menyusut air
1807,suwargo iki,surga ini
1808,suwek klambi,robek sobek baju
1809,suwi ngenteni,lama menunggu
1810,suworo banter,suara kencang
1811,tah riko,kah kamu
1812,takal takalan,dengan segala upaya
1813,takon isun,tanya saya
1814,talar omongan,bantah omongan
1815,tali dawa,ikat ikatan panjang
1816,tambeng lare,nakal anak
1817,tanggo isun,kira saya
1818,tapi isun,tapi saya
1819,tapuk lare,tampar anak
1820,tanpo duwit,tanpa uang
1821,tasemak moto,kacamata mata
1822,tatu sikil,luka kaki
1823,tatune abang,lukanya merah
1824,tau isun,pernah saya
1825,tau tah,pernahkah
1826,teko isun,tiba hadir datang saya
1827,teko ngendi,dari mana
1828,tego isun,tega saya
1829,temakno udan,ternyata hujan
1830,tembang apik,lagu nyanyian bagus
1831,temen temenan,benar benar sekali
1832,temenan isun,serius sungguh sungguh saya
1833,temencog lare,lompat anak
1834,temetes eluh,menetes air mata
1835,tempong mulute,mulut yang di tampar mulutnya
1836,tentrem ati,tentram hati
1837,tetep isun,tetap saya
1838,thulik isun,anak laki laki saya
1839,tibane isun,ternyata saya
1840,tibo lare,jatuh anak
1841,timbyangeno isun,dari pada saya
1842,titipno duwit,titipkan uang
1843,tratag gedhe,panggung besar
1844,tresno isun,sayang cinta kasih saya
1845,trimo kasih,terima kasih
1846,trimoen kasih,terimalah kasih
1847,tulung isun,tolong saya
1848,tugel tali,putus tali
1849,tulodho apik,contoh bagus
1850,tuman isun,sering kebiasaan kecanduan saya
1851,temebluk saka wit,jatuh dari atas pohon
1852,tundung asu,usir anjing
1853,turu isun,tidur saya
1854,tuwuk isun,puas kenyang saya
1855,tuwas isun,hanya membuat bikin saya
1856,tuwyas isun,nanti malah saya
1857,udan deres,hujan deras
1858,ugo isun,juga saya
1859,ukuryane teko,pastinya datang
1860,ulan padang,bulan terang
1861,ulog medeni,ular menakutkan
1862,umpomo teko,seandainya datang
1863,uneg unegen,malas makan karena aromanya
1864,ungkapno ati,ungkapkan hati
1865,urip isun,hidup saya
1866,using tah,masak iya?
1867,uwah wernane,berubah warnanya
1868,uwel wong iku,marah larang orang itu
1869,wadon ayu,wanita perempuan cantik
1870,waled daging,alot daging
1871,wangi kembang,harum wangi bunga
1872,wawuh isun,akrab kenal saya
1873,wedi isun,takut saya
1874,wel welan,berdesak desakan
1875,welas isun,sayang cinta suka kasih saya
1876,welase isun,cintanya saya
1877,welasi isun,sayangi cintai saya
1878,weruh isun,tau saya
1879,wes mangan,sudah makan
1880,wes kadhung,terlanjur
1881,wingek isun,dulu sekali dulu banget saya
1882,wingyenanek isun,kemarin saya
1883,woco buku,baca buku
1884,wong akeh,orang banyak
1885,wong osing,orang osing
1886,wong tuwek,orang tua
1887,wujud nyata,bentuk wujud hasil nyata
1888,wujude nyata,bentuknya wujudnya hasilnya nyata
1889,wuruk apik,ajaran bagus
1890,wutuh isun,utuh saya
1891,wutuhe isun,seutuhnya saya
1892,yo isun,ya saya
1893,yotro akeh,uang banyak
1894,abero,coba
1895,abed,sikap
1896,abed,tingkah
1897,abed iro,sikapmu
1898,abete,gayamu
1899,abete,sifatmu
1900,abete,tingkahmu
1901,abot,berat
1902,aboti,beratkan
1903,aboti,bela
1904,aboti,sukai
1905,acake,coba
1906,aclak,gaya bicara yang ekspresif
1907,aclak,dinamis
1908,aclak,dan dramatis
1909,adoh,jauh
1910,adohi,di jauhi
1911,adung,kalau
1912,adung,jika
1913,dung,kalau
1914,dung,jika
1915,alit,kecil
1916,aluk,mendingan
1917,alung,enakan
1918,ambai,lalui
1919,ambai,lewati
1920,ambekan,nafas
1921,ambekan,bernafas
1922,ambekane,nafasnya
1923,amung,hanya
1924,amung,cuma
1925,mung,hanya
1926,mung,cuma
1927,ampred,tarik dengan paksa
1928,ancik,senggama
1929,angen,angan
1930,angen,bayang
1931,angenan,angan angan
1932,anyeng,tarik
1933,anyeng anyengan,tarik tarikan
1934,ambekno,walau
1935,ambekno,meski
1936,ambekno,walaupun
1937,ambekno,meskipun
1938,masio,walau
1939,masio,meski
1940,masio,walaupun
1941,masio,meskipun
1942,ambi,dengan
1943,kambi,dengan
1944,ambung,cium
1945,amening,waspada
1946,amergo,karena
1947,amergo,sebab
1948,mergo,karena
1949,mergo,sebab
1950,amperu,empedu
1951,ampet,ambil
1952,juwut,ambil
1953,ampah,ceroboh
1954,ancas,ancam
1955,ancang,encer
1956,angas,berani sekali
1957,angel,sukar
1958,angel,susah
1959,angel,sulit
1960,angger,acap kali
1961,angger,setiap
1962,angger,tiap kali
1963,paceke,acap kali
1964,paceke,setiap
1965,paceke,tiap kali
1966,anggone,andai
1967,mungguo,andai
1968,anggul anggul,alasan
1969,angur,lebih baik
1970,angur,mending
1971,bangur,lebih baik
1972,bangur,mending
1973,anteni,nanti
1974,anteni,tunggu
1975,antenono,nantikan
1976,antenono,tunggulah
1977,apuo,kenapa
1978,apuwo,mengapa
1979,aran,nama
1980,arep,akan
1981,arep,mau
1982,aron,sembuh
1983,aruo,coba
1984,ati,hati
1985,atin,hati
1986,atinisun,hatiku
1987,atos,keras
1988,atos,alot
1989,awak,diri
1990,awan,siang
1991,awang awang,langit
1992,awang awang,angkasa
1993,awean,suka memberi
1994,awean,tidak pelit
1995,baen,saja
1996,bain,saja
1997,byaen,saja
1998,bakal,akan
1999,bakalan,akan
2000,balik,kembali
2001,batin,batin
2002,batin,perasaan
2003,blambyangan,blambangan
2004,bapak,bapak
2005,byapak,bapak
2006,banguryan,bagusan
2007,banguryan,mendingan
2008,banyu,air
2009,byanyu,air
2010,bareng,bersama
2011,bareng,dengan
2012,bebeng,hadang
2013,bebeng,halang
2014,bebres,tergores
2015,bered,tergores
2016,belabur,air meluap
2017,beledhus,bau badan tak sedap
2018,belethok,lumpur
2019,bedo,beda
2020,bedo,berbeda
2021,belani,bela belain
2022,belani,di bela
2023,beloko,saja
2024,belokon,saja
2025,belog,bodoh sekali
2026,belog,bodoh banget
2027,lengek,bodoh sekali
2028,lengek,bodoh banget
2029,belondo,sisa pengolahan sendiri minyak kelentik
2030,bendino,setiap hari
2031,sabendino,setiap hari
2032,beng,anak perempuan
2033,jebeng,anak perempuan
2034,bengkah,retak
2035,bengen,dulu
2036,bengene,dulunya
2037,bengi,malam
2038,bengok,tidak tahu apa apa
2039,bera-i,sesuai
2040,berak,teriak
2041,berek,rusak sampai berair
2042,bik,bibi
2043,bingkak,menyamakan
2044,bingkak,tidak membeda bedakan
2045,biso,bisa
2046,bisane,bisanya
2047,byakalan,pacar
2048,byakalan,pacaran
2049,sir siran,pacar
2050,sir siran,pacaran
2051,byalek,ruang tamu
2052,bliyak,buka
2053,bluwek,usang
2054,luwas,usang
2055,boding,parang
2056,bojog,monyet
2057,bombong,adu
2058,bondo,harta
2059,bongak,sobek menganga
2060,bongko,mati
2061,bongol,bodoh
2062,goblog,bodoh
2063,bongkok,kayu daun kelapa
2064,boreh,oles
2065,borok,luka
2066,borok,infeksi
2067,boyok,punggung
2068,bungah,bahagia
2069,bungah,senang
2070,bucur,kepala yang berdarah
2071,buru,baru
2072,busek,hapus
2073,buyang,buang
2074,bukung,ekor terpotong
2075,byangete,sedang
2076,byangete,pas lagi
2077,byangsong,rakus sekali
2078,byarak,terang sekali
2079,camah,tidak khas lagi
2080,campleng,putus
2081,campleng,selesai
2082,cancang,ikat
2083,candhak,pegang
2084,canthuk,alat untuk menggiling
2085,carok,jumpa
2086,caring,menjemur badan biar kering
2087,cawis,siap
2088,cedak,dekat
2089,cekakakan,terbahak bahak
2090,celathu,bicara marah
2091,cemeng,hitam
2092,cendek,pendek
2093,cendak,pendek
2094,cengkir,buah kelapa yang masih sangat muda
2095,cepet,cepat
2096,cerito,cerita
2097,crito,cerita
2098,cicir,jatuh dari atas
2099,temebluk,jatuh dari atas
2100,cilik,kecil
2101,coplok,lepas
2102,cumpune,umpama
2103,cupar,cemburu
2104,dadan,dada
2105,dodo,dada
2106,dadi,jadi
2107,dalan,jalan
2108,dyalan,jalan
2109,dalanan,jalanan
2110,dekok,cekung menjorok ke dalam
2111,deleng,lihat
2112,demen,cinta
2113,demen,suka
2114,demeni,cintai
2115,demeni,sukai
2116,demenane,kekasihnya
2117,demenane,yang di sukai
2118,depani,hadapi
2119,dewek,sendiri
2120,dewekan,sendirian
2121,dhupak,depak
2122,dhupak,sepak
2123,dhupak,terjang
2124,ndumpak,depak
2125,ndumpak,sepak
2126,ndumpak,terjang
2127,dino,hari
2128,dinggo,untuk
2129,dinggo,buat
2130,di apeni,di bohongi
2131,di terak,di bawa dan terseret :
2132,di uwel,di marahi
2133,di uwel,di larang dengan marah marah
2134,dongong,bodoh dan pelupa
2135,dowo,panjang
2136,drajat,derajat
2137,driji,jari
2138,dudu,bukan
2139,dungo,doa
2140,dunyo,dunia
2141,duso,dosa
2142,duwe,punya
2143,due,punya
2144,duwen,milik
2145,duweni,miliki
2146,doyong,condong
2147,dyamar,lampu
2148,dywhos,penampilan yang kumuh
2149,edan,gila
2150,eleng,ingat
2151,iling,ingat
2152,eluh,air mata
2153,eloh,air mata
2154,elung,beri
2155,elungno,berikan
2156,eman,sayang
2157,eman,cinta
2158,eman,kasih
2159,welas,sayang
2160,welas,cinta
2161,welas,kasih
2162,embyah,nenek
2163,embuh,entah
2164,embuh,tak tau
2165,emok,marah gak menentu
2166,emong,tidak mau
2167,emong,ogah
2168,mong,tidak mau
2169,mong,ogah
2170,empur,hancur
2171,lutrek,hancur
2172,ndedek,hancur
2173,endane,masak
2174,endi,mana
2175,engekno,bukakan
2176,enget,ingat
2177,endyane?,masak?
2178,using tah?,masak?
2179,enjyong,nikmat sekali
2180,ered,seret
2181,erus,ciduk sayur
2182,esem,senyum
2183,ethuk,bungkus nasi
2184,gambare,gambarnya
2185,gampang,mudah
2186,gancang,cepat
2187,gyancang,cepat
2188,ganjur,galah panjang
2189,ganti,ganti
2190,ganti,pengganti
2191,ganti,yang lain
2192,garis,takdir
2193,garis,takdir-nya
2194,garise,takdir
2195,garise,takdir-nya
2196,garit,garis
2197,garu,sisir rambut
2198,garuan,menyisir rambut
2199,gathak,sombong
2200,gati,perhatian
2201,gyati,perhatian
2202,,perhatian
2203,gawe,buat
2204,gawe,membuat
2205,gyaros,laris
2206,geberejed,terpeleset
2207,geblug,tumpul
2208,gebros,pukul pakai barang yang tidak membahayakan
2209,gedhoh,ampas kopi
2210,gede,besar
2211,gedhig,besar
2212,gedigu,begitu
2213,gedigenan,seperti ini
2214,gedigonan,seperti itu
2215,gegeten,ketakutan sekali
2216,gejroh,injak dengan keras
2217,gelem,mau
2218,gelo,kecewa
2219,gemantung,menggantung
2220,gempung,gosong
2221,gemerubyas,tumbang
2222,gemerubyas,suara jatuh dengan tiba tiba
2223,gemulyak,mendidih
2224,gemuyu,tertawa
2225,gending,lagu
2226,genengno,biarkan
2227,genengaken,biarkan
2228,genjur,lunak sekali
2229,nyunyur,lunak sekali
2230,genggem,genggam
2231,genten,ganti
2232,gentenan,gantian
2233,gering,kurus
2234,getap,penakut
2235,getih,darah
2236,getuh,keruh
2237,getun,sesal
2238,getun,menyesal
2239,gredoan,merayu
2240,gredoan,gurau
2241,gujreh,belepotan di mulut
2242,golek,cari
2243,golet,cari
2244,golekeno,carikan
2245,golekaken,carikan
2246,gromyoh,ceria
2247,gomprang,ribut
2248,gopoh,buru buru
2249,gopoh,tergopoh gopoh
2250,gothang,hilang sedikit
2251,gothang,berkurang
2252,gowo,bawa
2253,grahono,gerhana
2254,gubab,bohong
2255,gubyab,bohong
2256,gulakane,nanti malah
2257,gumbleng,tuli sesaat
2258,gumbleng,memekakkan telinga
2259,kumpleng,tuli sesaat
2260,kumpleng,memekakkan telinga
2261,guno,guna
2262,gunane,gunanya
2263,gurau,guru
2264,gurih,nikmat
2265,gusti,tuhan
2266,gusti,allah
2267,guwang,sompel
2268,guyu,tawa
2269,guyu,tertawa
2270,gemuyu,tawa
2271,gyayab,nafsu sekali
2272,gyayab,semangat
2273,gyalapan,balapan
2274,hang,yang
2275,kang,yang
2276,heng,tidak
2277,ibuka’en,perhatikan
2278,idek,injak
2279,iki,ini
2280,iklasaken,ikhlaskan
2281,ilang,hilang
2282,ilangno,hilangkan
2283,ilir,kipas
2284,imuk,amuk
2285,inceng,intip
2286,iro,kamu
2287,iro,anda
2288,iro,kau
2289,siro,kamu
2290,siro,anda
2291,siro,kau
2292,hiro,kamu
2293,hiro,anda
2294,hiro,kau
2295,iseh,masih
2296,isin,malu
2297,isun,aku
2298,isun,saya
2299,sun,aku
2300,sun,saya
2301,hun,aku
2302,hun,saya
2303,jajang,bambu
2304,jalaran,penyebab
2305,jaluk,minta
2306,jaluk,pinta
2307,janjang,tangkai
2308,jangan,sayur
2309,jangged,lengket
2310,jangkep,genap
2311,jangkepe,genapnya
2312,jebeg,tempat menggiling bumbu yang terbuat dari batu
2313,jebod,rusak
2314,jedhor,bedug
2315,jemblang,buka lebar lebar
2316,jemblangen,bukalah
2317,jero,dalam
2318,njero,dalam
2319,jibros,gondrong dan kumal
2320,jodo,jodoh
2321,jodone,jodohnya
2322,jodog,tempat duduk pendek di tanah
2323,jogo,jaga
2324,jorong,jotos
2325,sontok,jotos
2326,jelowokan,lubang kecil
2327,juglangan,lubang besar
2328,jumbleng,gelap
2329,junggrang,besar tinggi
2330,jungglang,besar tinggi
2331,juwyari,percaya diri
2332,kacangan,penakut
2333,kadang,kadang
2334,kadange,terkadang
2335,kedanan,tergila gila
2336,kedani,sukai banget
2337,kedhapen,silau
2338,kadung,terlanjur
2339,kadhung,terlanjur
2340,kajon,kagum
2341,kakik,kakek
2342,kancing,kunci
2343,kancingno,kuncikan
2344,kang,kakak laki laki
2345,kangen,rindu
2346,kangen,kangen
2347,kangeni,rindukan
2348,kanggo,untuk
2349,kantru kantru,teringat
2350,kantru kantru,termenung
2351,kapiliro,tersiksa
2352,kapuronto,merah muda
2353,karep,keinginan
2354,karep,kemauan
2355,karepe,keinginanya
2356,karepe,kemauanya
2357,karepno,harapkan
2358,karepno,inginkan
2359,kari,tinggal
2360,kariyo,tinggalah
2361,kariyo,kini tinggal
2362,karipan,kesiangan
2363,karipan,kurang tidur
2364,katik,pakai
2365,ketigo,kemarau
2366,katon,nampak
2367,katon,tampak
2368,katon,terlihat
2369,kawitan,pertama
2370,kawitan,mulai
2371,kawus,jera
2372,kebabyas,salah jalan
2373,kebelandur,terpeleset
2374,kejelowok,terpelosok
2375,kebes,padam
2376,kebes,matikan
2377,kebeselek,tersedak
2378,kecaruk,ketemu
2379,kecobo,kecuali
2380,kecoh,fasih
2381,kecoh,jelas
2382,kegandol,menanggung
2383,kejiglang,jatuh tersandung
2384,kejolok,kebanyakan
2385,kekel,tertawa terpingkal pingkal
2386,kekok,kaku
2387,kelangan,kehilangan
2388,kelaran,sakit
2389,kelaran,tersakiti
2390,kelendhi,bagaimana
2391,keli,terseret arus air
2392,kelai,terseret arus air
2393,keliwat,terlalu
2394,keliwat,berlebihan
2395,kelumus,basah kuyup
2396,kembang,bunga
2397,kempol,paha
2398,kempol,betis
2399,kenci,kurus
2400,kene,sini
2401,kenemenen,amat sangat
2402,kenemenen,berlebihan
2403,keneng,kena
2404,keneng,bisa
2405,kening,bening
2406,kenthel,kental
2407,kenyab,mempermainkan yang lebih tua
2408,kepaling,berpaling
2409,kepeles,tertipu malu
2410,kepencut,tergoda
2411,kepos,basah
2412,kepilis,kisinan
2413,kepilu,terbuai
2414,kepilu,terbawa
2415,kepingin,ingin
2416,kepingin,keinginan
2417,kepincut,tergoda
2418,kerahang,tamak
2419,kerahang,rakus
2420,kerano,karena
2421,kerono,karena
2422,krono,karena
2423,kerawu,urap
2424,kerep,sering
2425,kerungu,dengar
2426,kerungu,mendengar
2427,kesapu,tersapu
2428,kesereb,tertelungkup
2429,keseron,keterlaluan
2430,seron,keterlaluan
2431,keseliring,jatuh karena salah jalan
2432,kesikso,tersiksa
2433,kesimpen,tersimpan
2434,ketang,ternyata
2435,temakno,ternyata
2436,cumpune,ternyata
2437,ketemu,berjumpa
2438,ketemu,bertemu
2439,ketimbyang,dari pada
2440,timbyangeno,dari pada
2441,ketinggulyan,ketutupan
2442,ketutup,tertutup
2443,kimples,menyusut
2444,kiro,kira
2445,kobokan,tempat cuci tangan
2446,kono,sana
2447,korep,wajah kotor
2448,koyo,seperti
2449,koyo,bagaikan
2450,koyok,seperti
2451,koyok,bagaikan
2452,krungu,dengar
2453,krutug,hajar beramai ramai
2454,kudangan,dambaan
2455,kudangan,kekasih
2456,kudangan,yang di sayang
2457,kulo,aku
2458,kulo,saya
2459,kuoso,kuasa
2460,kumed,pelit sekali
2461,kuryangen,ingin lagi
2462,kuryangen,ketagihan
2463,ladhak,teguh pendirian tanpa kompromi
2464,lading,pisau
2465,lakoni,jalani
2466,laku,jalan
2467,laku,berjalan
2468,lakunya,jalanya
2469,lakunya,berjalanya
2470,lan,dan
2471,lanang,lelaki
2472,lanang,pria
2473,landhep,tajam
2474,lancing,lelaki belum menikah
2475,larad,bablas
2476,larad,jalan lari kehilangan kendali dari ketinggian
2477,lare,anak
2478,lare,pemuda
2479,lawang,pintu
2480,lawange,pintunya
2481,lawas,lama
2482,layung,sedih
2483,lebuh,tempat sampah umum
2484,lekas,usai
2485,lekas,sehabis
2486,lekrekan,rusak parah
2487,lencur,bolos
2488,melencur,bolos
2489,lenged,berputar kencang sekali
2490,lengo,minyak
2491,lesuh,lemas
2492,lesuh,letoy
2493,lik,anak laki laki
2494,thulik,anak laki laki
2495,lilo,rela
2496,lilo,pasrah
2497,lilakno,relakan
2498,lilakno,pasrahkan
2499,lilakeno,relakan
2500,lilakeno,pasrahkan
2501,lintang,bintang
2502,liwat,lewat
2503,liwyat,lewat
2504,liwati,lewati
2505,liwati,lalui
2506,liyo,lain
2507,liyan,lain
2508,lodhok,memasukkan sesuatu ke lubang
2509,lodhong,mampus
2510,longan,di bawah tempat tidur
2511,loro,dua
2512,loro,sakit
2513,lucau,lucu
2514,lurung,jalan
2515,lurong,jalan
2516,lungset,kusut
2517,lungsuran,bekas
2518,lunyau,licin
2519,luput,salah
2520,luput,keliru
2521,lutrek,rusak
2522,lonyod,hancur
2523,lonyod,rusak
2524,empur,rusak
2525,ndedek,rusak
2526,luwas,lama
2527,bluwek,lama
2528,luwyak,musang
2529,madang,makan
2530,madhang,makan
2531,madhyang,makan
2532,magih,masih
2533,mageh,masih
2534,mak,ibu
2535,makne,biar
2536,makne,agar
2537,makne,supaya
2538,maruh,bagi
2539,maruh,membagi jadi dua
2540,mamut,hilang
2541,mamut,pergi
2542,man,paman
2543,mancad,menginjak
2544,mandaneo,andaikan saja
2545,mandaneo,seandainya
2546,maneh,lagi
2547,mandek,berhenti
2548,mang mangen,ragu ragu
2549,mang mangen,bimbang
2550,mangu,ragu
2551,maning,lagi
2552,marai,mulai
2553,marai,memulai
2554,marai,penyebab
2555,mbatesi,membatasi
